ip;asn;holder
173.194.129.213;15169;GOOGLE - Google LLC
2a00:1450:401f:7::7;15169;GOOGLE - Google LLC
173.194.5.238;15169;GOOGLE - Google LLC
2a00:1450:401f:7::9;15169;GOOGLE - Google LLC
2a00:1450:401f:7::8;15169;GOOGLE - Google LLC
74.125.4.40;15169;GOOGLE - Google LLC
74.125.4.39;15169;GOOGLE - Google LLC
64.15.112.17;43515;YOUTUBE - Google Ireland Limited
2a00:1450:401e:1a::7;15169;GOOGLE - Google LLC
64.15.112.18;43515;YOUTUBE - Google Ireland Limited
2a00:1450:4001:29::8;15169;GOOGLE - Google LLC
74.125.160.235;15169;GOOGLE - Google LLC
2a00:1450:401e:36::17;15169;GOOGLE - Google LLC
194.122.80.17;36040;YOUTUBE - Google LLC
2a00:1450:4005:9::7;15169;GOOGLE - Google LLC
194.122.80.12;36040;YOUTUBE - Google LLC
2a00:1450:4005:5::b;15169;GOOGLE - Google LLC
195.95.178.206;39107;INTERLAN-AS - Asociatia Interlan
2001:b30:ef00:99ca::e;2614;ROEDUNET - Agentia de Administrare a Retelei Nationale de Informatica pentru Educatie si Cercetare
195.95.178.204;39107;INTERLAN-AS - Asociatia Interlan
2001:b30:ef00:99ca::c;2614;ROEDUNET - Agentia de Administrare a Retelei Nationale de Informatica pentru Educatie si Cercetare
109.105.109.205;2603;NORDUNET - NORDUnet
2001:948:7:1::d;2603;NORDUNET - NORDUnet
109.105.109.206;2603;NORDUNET - NORDUnet
2001:948:7:1::e;2603;NORDUNET - NORDUnet
92.197.129.142;20676;QSC-1 - QSC AG
2001:1a80:100:1b::e;20676;QSC-1 - QSC AG
92.197.129.140;20676;QSC-1 - QSC AG
2001:1a80:100:1b::c;20676;QSC-1 - QSC AG
64.15.116.49;36040;YOUTUBE - Google LLC
2620:11a:a010:1::11;43515;YOUTUBE - Google Ireland Limited
64.15.116.50;36040;YOUTUBE - Google LLC
2620:11a:a010:1::12;43515;YOUTUBE - Google Ireland Limited
173.194.19.230;15169;GOOGLE - Google LLC
173.194.151.88;15169;GOOGLE - Google LLC
173.194.19.235;15169;GOOGLE - Google LLC
2a00:1450:400a::7;15169;GOOGLE - Google LLC
74.125.13.7;15169;GOOGLE - Google LLC
2a00:1450:400a:2::b;15169;GOOGLE - Google LLC
74.125.13.75;15169;GOOGLE - Google LLC
173.194.18.199;15169;GOOGLE - Google LLC
74.125.162.103;15169;GOOGLE - Google LLC
209.85.226.147;15169;GOOGLE - Google LLC
2a00:1450:4008:8::b;15169;GOOGLE - Google LLC
173.194.19.234;15169;GOOGLE - Google LLC
209.85.226.142;15169;GOOGLE - Google LLC
2001:1700:4800::11;6730;SUNRISE - Sunrise Communications AG
2001:1700:4800::12;6730;SUNRISE - Sunrise Communications AG
2a00:1450:401c:b::b;15169;GOOGLE - Google LLC
173.194.51.151;15169;GOOGLE - Google LLC
2404:6800:400a:d::c;15169;GOOGLE - Google LLC
173.194.49.232;15169;GOOGLE - Google LLC
2404:6800:400a:8::b;15169;GOOGLE - Google LLC
2a00:1450:401e:36::b;15169;GOOGLE - Google LLC
2a00:1450:401c:1b::7;15169;GOOGLE - Google LLC
83.255.235.81;39651;COMHEM-SWEDEN - Com Hem AB
83.255.236.14;39651;COMHEM-SWEDEN - Com Hem AB
2a00:1450:400e:24::e;15169;GOOGLE - Google LLC
2a00:1450:400e:24::13;15169;GOOGLE - Google LLC
83.255.236.13;39651;COMHEM-SWEDEN - Com Hem AB
173.194.156.231;15169;GOOGLE - Google LLC
2a00:1450:400e:48::15;15169;GOOGLE - Google LLC
173.194.153.172;15169;GOOGLE - Google LLC
2a00:1450:400e:24::18;15169;GOOGLE - Google LLC
111.168.255.209;2518;BIGLOBE BIGLOBE Inc.
220.102.0.77;2518;BIGLOBE BIGLOBE Inc.
2001:888:2000:3c::11;3265;XS4ALL-NL - Xs4all Internet BV
82.94.228.145;3265;XS4ALL-NL - Xs4all Internet BV
2001:888:2000:3c::c;3265;XS4ALL-NL - Xs4all Internet BV
82.94.228.140;3265;XS4ALL-NL - Xs4all Internet BV
213.253.9.206;8426;CLARANET-AS - ClaraNET LTD
2001:a88:1:1c::e;8426;CLARANET-AS - ClaraNET LTD
213.253.9.204;8426;CLARANET-AS - ClaraNET LTD
2001:a88:1:1c::c;8426;CLARANET-AS - ClaraNET LTD
74.125.111.167;15169;GOOGLE - Google LLC
74.125.14.11;15169;GOOGLE - Google LLC
173.194.19.140;15169;GOOGLE - Google LLC
2a00:1450:400f:c::c;15169;GOOGLE - Google LLC
173.194.19.167;15169;GOOGLE - Google LLC
