endpoint;asn;holder
81.46.10.121;3352;TELEFONICA_DE_ESPANA - TELEFONICA DE ESPANA
81.46.8.98;3352;TELEFONICA_DE_ESPANA - TELEFONICA DE ESPANA
5.53.1.82;12956;TELEFONICA - Telefonica International Wholesale Services II, S.L.U.
72.14.234.37;15169;GOOGLE - Google LLC
209.85.143.161;15169;GOOGLE - Google LLC
173.194.129.213;15169;GOOGLE - Google LLC
2001:470:1f09:495::101;6939;HURRICANE - Hurricane Electric LLC
2001:470:1f08:495::1;6939;HURRICANE - Hurricane Electric LLC
2001:470:0:67::1;6939;HURRICANE - Hurricane Electric LLC
2001:7f8:17::3b41:1;8330;LONAP - LONAP Ltd
2001:4860:0:1::1055;15169;GOOGLE - Google LLC
2001:4860:0:1::4f;15169;GOOGLE - Google LLC
2a00:1450:401f:7::7;15169;GOOGLE - Google LLC
81.46.71.117;3352;TELEFONICA_DE_ESPANA - TELEFONICA DE ESPANA
72.14.232.191;15169;GOOGLE - Google LLC
209.85.244.45;15169;GOOGLE - Google LLC
173.194.5.238;15169;GOOGLE - Google LLC
2001:4860:1:1:0:1b1b:0:5;15169;GOOGLE - Google LLC
2001:4860:0:1::178f;15169;GOOGLE - Google LLC
2a00:1450:401f:7::9;15169;GOOGLE - Google LLC
2a00:1450:401f:7::8;15169;GOOGLE - Google LLC
81.46.10.129;3352;TELEFONICA_DE_ESPANA - TELEFONICA DE ESPANA
216.239.47.229;15169;GOOGLE - Google LLC
74.125.4.40;15169;GOOGLE - Google LLC
74.125.4.39;15169;GOOGLE - Google LLC
212.201.44.214;680;DFN - Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
134.102.121.125;680;DFN - Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
188.1.239.205;680;DFN - Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
188.1.145.241;680;DFN - Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
64.15.112.17;43515;YOUTUBE - Google Ireland Limited
2001:638:709:5::1;680;DFN - Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
64.15.112.18;43515;YOUTUBE - Google Ireland Limited
188.1.236.76;680;DFN - Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
209.85.249.124;15169;GOOGLE - Google LLC
209.85.249.133;15169;GOOGLE - Google LLC
72.14.233.127;15169;GOOGLE - Google LLC
74.125.160.235;15169;GOOGLE - Google LLC
188.1.244.189;680;DFN - Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
83.169.183.93;31334;KABELDEUTSCHLAND-AS - Vodafone Kabel Deutschland GmbH
88.134.234.57;31334;KABELDEUTSCHLAND-AS - Vodafone Kabel Deutschland GmbH
88.134.203.208;31334;KABELDEUTSCHLAND-AS - Vodafone Kabel Deutschland GmbH
88.134.202.27;31334;KABELDEUTSCHLAND-AS - Vodafone Kabel Deutschland GmbH
194.122.80.17;36040;YOUTUBE - Google LLC
2a02:8109:440:37cc::1;31334;KABELDEUTSCHLAND-AS - Vodafone Kabel Deutschland GmbH
2a02:8100:6:2::102:d51;31334;KABELDEUTSCHLAND-AS - Vodafone Kabel Deutschland GmbH
2a02:8100:6:2::4:181;31334;KABELDEUTSCHLAND-AS - Vodafone Kabel Deutschland GmbH
2a02:8100:4:2::71;31334;KABELDEUTSCHLAND-AS - Vodafone Kabel Deutschland GmbH
2a02:8100:4:2::89e;31334;KABELDEUTSCHLAND-AS - Vodafone Kabel Deutschland GmbH
2001:4860:1:1:0:7a66:0:6;15169;GOOGLE - Google LLC
2001:4860::1:0:fdd;15169;GOOGLE - Google LLC
2001:4860::3:0:39ad;15169;GOOGLE - Google LLC
2001:4860:0:1::634;15169;GOOGLE - Google LLC
2a00:1450:4005:9::7;15169;GOOGLE - Google LLC
2a02:8109:440:37cc:6666:b3ff:fee7:1371;31334;KABELDEUTSCHLAND-AS - Vodafone Kabel Deutschland GmbH
194.122.80.12;36040;YOUTUBE - Google LLC
2001:4860:0:1::4e5;15169;GOOGLE - Google LLC
2a00:1450:4005:5::b;15169;GOOGLE - Google LLC
194.102.63.129;199513;UVT-AS - Universitatea de Vest din Timisoara
217.73.174.197;2614;ROEDUNET - Agentia de Administrare a Retelei Nationale de Informatica pentru Educatie si Cercetare
37.128.234.21;2614;ROEDUNET - Agentia de Administrare a Retelei Nationale de Informatica pentru Educatie si Cercetare
37.128.239.113;2614;ROEDUNET - Agentia de Administrare a Retelei Nationale de Informatica pentru Educatie si Cercetare
37.128.239.146;2614;ROEDUNET - Agentia de Administrare a Retelei Nationale de Informatica pentru Educatie si Cercetare
37.128.239.42;2614;ROEDUNET - Agentia de Administrare a Retelei Nationale de Informatica pentru Educatie si Cercetare
195.95.178.206;39107;INTERLAN-AS - Asociatia Interlan
2001:b30:2004:2100::1;2614;ROEDUNET - Agentia de Administrare a Retelei Nationale de Informatica pentru Educatie si Cercetare
2001:b30:2004:101::1;2614;ROEDUNET - Agentia de Administrare a Retelei Nationale de Informatica pentru Educatie si Cercetare
2001:b30:2000:12::1;2614;ROEDUNET - Agentia de Administrare a Retelei Nationale de Informatica pentru Educatie si Cercetare
